VenueType,Venue,Year,DOI,pages
Conference,ICSE,2019,10.1109/ICSE.2019.00020,12
Conference,ICSE,2019,10.1109/ICSE.2019.00042,12
Conference,ICSE,2019,10.1109/ICSE.2019.00019,12
Conference,ICSE,2019,10.1109/ICSE.2019.00074,11
Conference,ICSE,2019,10.1109/ICSE.2019.00124,12
Conference,ICSE,2019,10.1109/ICSE.2019.00027,11
Conference,ICSE,2019,10.1109/ICSE.2019.00026,11
Conference,ICSE,2019,10.1109/ICSE.2019.00048,11
Conference,ICSE,2019,10.1109/ICSE.2019.00049,12
Conference,ICSE,2019,10.1109/ICSE.2019.00052,12
Conference,ICSE,2019,10.1109/ICSE.2019.00061,12
Conference,ICSE,2019,10.1109/ICSE.2019.00092,12
Conference,ICSE,2019,10.1109/ICSE.2019.00100,12
Conference,ICSE,2019,10.1109/ICSE.2019.00104,11
Conference,ICSE,2021,10.1109/ICSE43902.2021.00022,13
Conference,ICSE,2021,10.1109/ICSE43902.2021.00108,12
Conference,ICSE,2021,10.1109/ICSE43902.2021.00109,12
Conference,ICSE,2021,10.1109/ICSE43902.2021.00110,12
Conference,ICSE,2021,10.1109/ICSE43902.2021.00111,13
Conference,ICSE,2021,10.1109/ICSE43902.2021.00112,13
Conference,ICSE,2021,10.1109/ICSE43902.2021.00113,12
Conference,ICSE,2021,10.1109/ICSE43902.2021.00114,12
Conference,ICSE,2021,10.1109/ICSE43902.2021.00115,13
Conference,ICSE,2021,10.1109/ICSE43902.2021.00116,13
Conference,ICSE,2021,10.1109/ICSE43902.2021.00117,12
Conference,ICSE,2021,10.1109/ICSE43902.2021.00023,13
Conference,ICSE,2021,10.1109/ICSE43902.2021.00118,13
Conference,ICSE,2021,10.1109/ICSE43902.2021.00119,12
Conference,ICSE,2021,10.1109/ICSE43902.2021.00120,11
Conference,ICSE,2021,10.1109/ICSE43902.2021.00121,13
Conference,ICSE,2021,10.1109/ICSE43902.2021.00122,13
Conference,ICSE,2021,10.1109/ICSE43902.2021.00123,13
Conference,ICSE,2021,10.1109/ICSE43902.2021.00124,13
Conference,ICSE,2021,10.1109/ICSE43902.2021.00125,12
Conference,ICSE,2021,10.1109/ICSE43902.2021.00126,12
Conference,ICSE,2021,10.1109/ICSE43902.2021.00024,13
Conference,ICSE,2021,10.1109/ICSE43902.2021.00127,13
Conference,ICSE,2021,10.1109/ICSE43902.2021.00128,13
Conference,ICSE,2021,10.1109/ICSE43902.2021.00129,12
Conference,ICSE,2021,10.1109/ICSE43902.2021.00130,13
Conference,ICSE,2021,10.1109/ICSE43902.2021.00131,12
Conference,ICSE,2021,10.1109/ICSE43902.2021.00132,12
